Treatment,Date,Ca2+_umol,Mg2+_umol,Volume in l,conduct_uS_per_cm_in_field,Ca_export_umol,Mg_export_umol
400,2023-06-20,1393.047,380.786,1.93325,297.5,2693.10811275,736.1545345
400,2023-09-12,12532.227,2950.3535,8.66675,462.5,108613.67835225,25569.976196125004
400,2023-12-05,26565.61875,6973.874,30.0,340.0,796968.5625,209216.22
400,2024-05-16,84661.92625,20522.52625,83.125,307.0,7037522.619531251,1705934.9945312499
400,2024-08-29,28212.32525,7178.564,20.25,377.5,571299.5863125001,145365.921
FINE,2022-07-05,3295.2844999999998,905.16375,1.55,610.0,5107.6909749999995,1403.0038125
FINE,2022-07-18,15035.554000000002,3929.2325,6.5,687.5,97731.10100000001,25540.01125
FINE,2022-08-01,33701.34725,9005.34875,13.375,740.0,450755.51946875,120446.53953124999
FINE,2022-08-16,6393.463,2093.19075,2.375,842.5,15184.474624999999,4971.32803125
FINE,2022-08-30,148827.3455,42450.11325,39.25,1110.25,5841473.3108749995,1666166.9450625002
FINE,2022-09-13,12038.42325,3661.798,4.0,930.0,48153.693,14647.192
FINE,2022-10-11,40824.600999999995,10872.2485,8.625,1382.5,352112.18362499995,93773.1433125
FINE,2022-11-15,38423.153999999995,10687.1015,8.25,1452.5,316991.0205,88168.587375
FINE,2022-12-12,68612.77475,18658.712,19.375,1115.0,1329372.51078125,361512.545
FINE,2023-01-17,44323.8525,11415.34675,23.75,645.0,1052691.496875,271114.48531250004
FINE,2023-02-14,18207.33525,4947.54175,15.75,397.5,286765.5301875,77923.78256250001
FINE,2023-03-13,9605.788250000001,2613.66,11.0,317.5,105663.67075000002,28750.26
FINE,2023-04-17,12590.444,3281.73225,13.75,330.0,173118.60499999998,45123.8184375
FINE,2023-05-16,2395.2095,612.5282500000001,2.25,352.5,5389.221375,1378.1885625000002
FINE,2023-06-20,0.0,0.0,0.6,312.5,0.0,0.0
FINE,2023-09-12,17982.78425,4288.2122500000005,9.875,542.5,177579.99446875,42346.09596875001
FINE,2023-12-05,23041.41725,6688.953,22.75,310.5,524192.2424375,152173.68075
FINE,2024-05-16,94944.486,26331.516,85.125,332.75,8082149.370750001,2241470.2995
FINE,2024-08-29,40893.21375,10995.679750000001,25.25,447.5,1032553.6471875,277640.91368750005
